timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673653158776,1276,HTTP Request,200,OK,Thread Group 1-1,text,true,,4638,448,500,500,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,234,0,117
1673653158776,234,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,,true,,274,162,500,500,http://34.132.194.230/ghost?email=ascn@example.com&password=ascn123,234,0,117
1673653159010,132,HTTP Request-1,302,Found,Thread Group 1-1,text,true,,454,163,500,500,http://34.132.194.230/ghost/?email=ascn@example.com&password=ascn123,132,0,0
1673653159143,909,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,3910,123,500,500,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,909,0,0
1673653158788,1269,HTTP Request,200,OK,Thread Group 1-6,text,true,,4638,448,499,499,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,233,0,114
1673653158788,233,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,,true,,274,162,499,499,http://34.132.194.230/ghost?email=ascn@example.com&password=ascn123,233,0,114
1673653159021,129,HTTP Request-1,302,Found,Thread Group 1-6,text,true,,454,163,499,499,http://34.132.194.230/ghost/?email=ascn@example.com&password=ascn123,129,0,0
1673653159150,907,HTTP Request-2,200,OK,Thread Group 1-6,text,true,,3910,123,499,499,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,907,0,0
1673653158792,1268,HTTP Request,200,OK,Thread Group 1-9,text,true,,4638,448,499,499,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,235,0,115
1673653158792,235,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,,true,,274,162,499,499,http://34.132.194.230/ghost?email=ascn@example.com&password=ascn123,235,0,115
1673653159027,129,HTTP Request-1,302,Found,Thread Group 1-9,text,true,,454,163,499,499,http://34.132.194.230/ghost/?email=ascn@example.com&password=ascn123,129,0,0
1673653158788,1272,HTTP Request,200,OK,Thread Group 1-7,text,true,,4638,448,499,499,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,237,0,116
1673653159156,904,HTTP Request-2,200,OK,Thread Group 1-9,text,true,,3910,123,499,499,http://34.132.194.230/ghost/#/?email=ascn@example.com&password=ascn123,904,0,0
